number,categories,average_tries,memory_limit,time_limit,level
2445,구현,1.3699,128,1,Bronze III
2444,구현,1.502,128,1,Bronze III
2443,구현,1.3264,128,1,Bronze III
2442,구현,1.8099,128,1,Bronze III
2441,구현,1.3481,128,1,Bronze III
2440,구현,1.4637,128,1,Bronze IV
2439,구현,1.7788,128,1,Bronze IV
2438,구현,1.6001,128,1,Bronze V
2437,그리디 알고리즘정렬,2.551,128,1,Gold II
2436,유클리드 호제법브루트포스 알고리즘수학정수론,3.2703,128,1,Gold V
2435,브루트포스 알고리즘,2.1161,128,1,Bronze I
2434,수학,2.5,128,1,Platinum II
2432,정렬,3.2857,128,1,Diamond II
2431,그리디 알고리즘수학,3.1143,128,1,Platinum I
2430,구현,8,128,1,Diamond I
2428,정렬,3.3288,128,1,Silver III
2427,브루트포스 알고리즘그리디 알고리즘수학,5,128,1,Diamond IV
2424,구현,4.1138,128,1,Platinum IV
2422,브루트포스 알고리즘,2.5029,128,1,Silver V
2421,수학정수론,2.1902,128,1,Gold V
2420,수학구현,2.1953,128,1,Bronze V
2417,수학,3.6027,128,4,Silver IV
2415,정렬,5.4966,128,1,Platinum I
2413,그리디 알고리즘,2.325,128,1,Gold II
2408,구현수학,2.4722,128,2,Bronze II
2407,수학,2.3882,128,2,Silver III
2405,수학그리디 알고리즘,3.1273,128,2,Gold IV
2404,수학브루트포스 알고리즘,1.8333,128,2,Silver I
2403,그리디 알고리즘,3.6452,128,2,Gold III
2399,브루트포스 알고리즘구현수학,2.5904,128,1,Bronze II
2393,구현,3.2833,128,1,Bronze IV
2392,수학,3,128,2,Platinum III
2391,구현,3,128,2,Bronze II
2388,그리디 알고리즘,2.069,128,2,Platinum V
2387,구현,3.976,128,1,Bronze III
2386,구현브루트포스 알고리즘,1.6891,128,1,Bronze II
2385,정렬그리디 알고리즘,5.4017,128,2,Platinum III
2381,수학정렬,1.883,128,1,Gold III
2380,구현,1.5714,128,1,Silver III
2378,정수론수학,2,128,2,Gold III
2377,구현,1.6836,128,1,Bronze V
2376,구현,2.5826,128,2,Platinum V
2375,그리디 알고리즘정렬,1.9348,128,2,Gold II
2374,그리디 알고리즘,2.7722,128,2,Gold IV
2373,수학,1.8439,128,2,Platinum I
2372,구현,1.7241,128,1,Bronze V
2371,브루트포스 알고리즘구현,2.1833,128,2,Silver III
2370,구현,3.2361,192,1,Gold IV
2369,브루트포스 알고리즘,2.413,128,1,Gold I
2358,정렬,3.1817,128,2,Silver IV
2355,수학,3.8109,128,25,Bronze II
2351,수학그리디 알고리즘,5.0909,128,2,Platinum I
2347,그리디 알고리즘,1.375,128,2,Diamond III
2344,브루트포스 알고리즘구현,1.4368,256,2,Gold IV
2338,수학,1.9815,128,2,Bronze V
